[Test] Coverage  | CD 0.440000 | EMD 0.287500
[Test] Coverage  | CD 0.410000 | EMD 0.280000
[Test] Coverage  | CD 0.405000 | EMD 0.267500
[Test] Coverage  | CD 0.412500 | EMD 0.260000
[Test] Coverage  | CD 0.405000 | EMD 0.267500
[Test] Coverage  | CD 0.415000 | EMD 0.262500
[Test] Coverage  | CD 0.407500 | EMD 0.297500
[Test] Coverage  | CD 0.400000 | EMD 0.267500
[Test] Coverage  | CD 0.420000 | EMD 0.260000
[Test] Coverage  | CD 0.422500 | EMD 0.260000
[Test] Coverage  | CD 0.412500 | EMD 0.252500
[Test] Coverage  | CD 0.420000 | EMD 0.270000
[Test] Coverage  | CD 0.392500 | EMD 0.272500
[Test] Coverage  | CD 0.410000 | EMD 0.265000
[Test] Coverage  | CD 0.415000 | EMD 0.265000
[Test] Coverage  | CD 0.412500 | EMD 0.277500
[Test] Coverage  | CD 0.405000 | EMD 0.285000
[Test] Coverage  | CD 0.405000 | EMD 0.260000
[Test] Coverage  | CD 0.415000 | EMD 0.272500
[Test] Coverage  | CD 0.420000 | EMD 0.252500
[Test] Coverage  | CD 0.407500 | EMD 0.287500
[Test] Coverage  | CD 0.425000 | EMD 0.260000
[Test] Coverage  | CD 0.410000 | EMD 0.265000
[Test] Coverage  | CD 0.425000 | EMD 0.282500
[Test] Coverage  | CD 0.432500 | EMD 0.280000
[Test] Coverage  | CD 0.415000 | EMD 0.277500
[Test] Coverage  | CD 0.405000 | EMD 0.250000
[Test] Coverage  | CD 0.392500 | EMD 0.255000
[Test] Coverage  | CD 0.400000 | EMD 0.245000
[Test] Coverage  | CD 0.402500 | EMD 0.265000
[Test] Coverage  | CD 0.422500 | EMD 0.267500
[Test] Coverage  | CD 0.427500 | EMD 0.262500
[Test] Coverage  | CD 0.440000 | EMD 0.255000
[Test] Coverage  | CD 0.430000 | EMD 0.297500
[Test] Coverage  | CD 0.372500 | EMD 0.257500
[Test] Coverage  | CD 0.435000 | EMD 0.262500
[Test] Coverage  | CD 0.412500 | EMD 0.267500
[Test] Coverage  | CD 0.402500 | EMD 0.262500
[Test] Coverage  | CD 0.445000 | EMD 0.290000
[Test] Coverage  | CD 0.445000 | EMD 0.277500
[Test] Coverage  | CD 0.407500 | EMD 0.262500
[Test] Coverage  | CD 0.435000 | EMD 0.300000
[Test] Coverage  | CD 0.440000 | EMD 0.247500
[Test] Coverage  | CD 0.397500 | EMD 0.272500
[Test] Coverage  | CD 0.440000 | EMD 0.270000
[Test] Coverage  | CD 0.440000 | EMD 0.262500
[Test] Coverage  | CD 0.425000 | EMD 0.277500
[Test] Coverage  | CD 0.410000 | EMD 0.262500
[Test] Coverage  | CD 0.435000 | EMD 0.260000
[Test] Coverage  | CD 0.422500 | EMD 0.247500
[Test] Coverage  | CD 0.435000 | EMD 0.287500
[Test] Coverage  | CD 0.420000 | EMD 0.265000
[Test] Coverage  | CD 0.425000 | EMD 0.292500
[Test] Coverage  | CD 0.402500 | EMD 0.277500
[Test] Coverage  | CD 0.437500 | EMD 0.247500
[Test] Coverage  | CD 0.415000 | EMD 0.252500
[Test] Coverage  | CD 0.407500 | EMD 0.252500
[Test] Coverage  | CD 0.412500 | EMD 0.282500
[Test] Coverage  | CD 0.407500 | EMD 0.285000
[Test] Coverage  | CD 0.407500 | EMD 0.270000
[Test] Coverage  | CD 0.405000 | EMD 0.242500
[Test] Coverage  | CD 0.400000 | EMD 0.272500
[Test] Coverage  | CD 0.410000 | EMD 0.255000
